,Id,Designator,Package,Quantity,Designation,Supplier and ref
X,1,C1,C_1206_HandSoldering,1,1u,720-VJ1206V105ZXXTW1BCCT-ND 
X,3,J1,1X02,1,Barrel_Jack,TSW-102-09-T-S-RA-ND
X,4,PS1,MPM3610_Buck_Convertor_Breakout,1,Adafruit_MPM3610_Breakout,Adafruit 4739
X,5,Q1,SOIC-14_3.9x8.7mm_Pitch1.27mm,1,FETArray_4Channel,3218-SD5400CYSOIC14L-ND
X,6,"Q2,Q3",SOT-23_Handsoldering,2,Q_NJFET_GDS,31-DMN5L06KQ-7CT-ND
X,7,"R1,R2,R3,R4,R5,R11",C_1206_HandSoldering,6,47,541-47.0FCT-ND
X,8,"R6,R7,R8,R9,R10,R12",C_1206_HandSoldering,6,10K,CRT1206-BY-1002ELFCT-ND
X,9,U1,PCB_FeatherWing,1,Huzzah32,Adafruit
X,10,U2,1X06,1,UC7078T,609-3327-ND
X,,Barrel_jack,,,,Adafruit 610
X,,Electrolytic capacitors,,1,100uF,
X,,9V Power supply,,,,Adafruit 63
